league,season,team,game,date,round,day,venue,result,GF,GA,opponent,Performance_SoTA,Performance_GA,Performance_Saves,Performance_Save%,Performance_CS,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,time,match_report
,2022,Ecuador,2021-10-14 Colombia-Ecuador,2021-10-14,WCQ — CONMEBOL (M),Thu,Away,D,0,0,Colombia,5,0,4,100.0,1,0,0,0,0,16:00:00,/en/matches/6e01b176/Colombia-Ecuador-October-14-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-11-11 Ecuador-Venezuela,2021-11-11,WCQ — CONMEBOL (M),Thu,Home,W,1,0,Venezuela,0,0,0,,1,0,0,0,0,16:00:00,/en/matches/0ba82c1e/Ecuador-Venezuela-November-11-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2021-11-16 Chile-Ecuador,2021-11-16,WCQ — CONMEBOL (M),Tue,Away,W,2,0,Chile,1,0,1,100.0,1,0,0,0,0,21:15:00,/en/matches/c9f9e69d/Chile-Ecuador-November-16-2021-WCQ----CONMEBOL-M
,2022,Ecuador,2022-01-27 Ecuador-Brazil,2022-01-27,WCQ — CONMEBOL (M),Thu,Home,D,1,1,Brazil,5,1,4,80.0,0,0,0,0,0,16:00:00,/en/matches/2115c0c8/Ecuador-Brazil-January-27-2022-WCQ----CONMEBOL-M
,2022,Ecuador,2022-02-01 Peru-Ecuador,2022-02-01,WCQ — CONMEBOL (M),Tue,Away,D,1,1,Peru,5,1,4,80.0,0,0,0,0,0,21:00:00,/en/matches/31474a6b/Peru-Ecuador-February-1-2022-WCQ----CONMEBOL-M
,2022,Ecuador,2022-03-24 Paraguay-Ecuador,2022-03-24,WCQ — CONMEBOL (M),Thu,Away,L,1,3,Paraguay,3,3,0,0.0,0,0,0,0,0,20:30:00,/en/matches/a8f4fdcc/Paraguay-Ecuador-March-24-2022-WCQ----CONMEBOL-M
,2022,Ecuador,2022-03-29 Ecuador-Argentina,2022-03-29,WCQ — CONMEBOL (M),Tue,Home,D,1,1,Argentina,2,1,1,50.0,0,0,0,0,0,18:30:00,/en/matches/5d9d75cd/Ecuador-Argentina-March-29-2022-WCQ----CONMEBOL-M
,2022,Ecuador,2022-06-02 Nigeria-Nigeria,2022-06-02,Friendlies (M),Thu,Neutral,W,1,0,Nigeria,,0,,,1,0,0,0,0,20:30:00,/en/matches/7a60aa51/Ecuador-Nigeria-June-2-2022-Friendlies-M
,2022,Ecuador,2022-06-05 Mexico-Mexico,2022-06-05,Friendlies (M),Sun,Neutral,D,0,0,Mexico,,0,,,1,0,0,0,0,18:30:00,/en/matches/8dd4f5d5/Mexico-Ecuador-June-5-2022-Friendlies-M
,2022,Ecuador,2022-06-11 Cabo Verde-Cabo Verde,2022-06-11,Friendlies (M),Sat,Neutral,W,1,0,Cabo Verde,,0,,,1,0,0,0,0,20:00:00,/en/matches/3b6f39de/Ecuador-Cabo-Verde-June-11-2022-Friendlies-M
